kelurahan,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
genuksari,0,4,2,1,0,0,1,3,3,0,0,1,2,1,1,1,4,0,2,0,3,0,1,4,6,2,7,3,6,3,3,5,3,6,8,5,4,5,4,3
gisikdrono,2,2,2,2,1,3,2,2,4,1,2,1,2,2,4,1,1,1,0,3,0,2,1,2,5,4,5,2,3,6,6,4,1,4,9,4,7,7,5,3
gondoriyo,1,0,2,1,0,1,0,0,1,0,0,0,0,0,2,0,1,1,1,0,1,0,0,1,0,0,1,2,1,0,0,0,1,2,3,3,2,2,3,1
gunungpati,3,0,0,0,2,0,0,0,0,2,0,2,0,2,0,2,0,0,1,0,2,1,1,3,2,0,3,1,3,0,1,1,1,3,2,2,3,1,0,1
jabungan,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1
jagalan,5,0,2,2,1,1,0,1,1,1,1,0,1,1,1,2,3,1,1,3,0,1,2,0,2,3,0,1,3,2,0,2,1,0,1,5,1,4,0,2
jangli,3,1,0,4,0,0,0,0,0,2,0,0,2,2,2,2,1,0,0,0,2,0,0,0,1,1,3,1,1,2,1,0,2,4,2,2,1,1,3,0
jatibarang,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,3,0,0,0,0,0
jatingaleh,5,2,1,0,0,1,1,1,3,1,1,1,3,0,1,3,0,1,0,0,4,1,0,3,6,2,1,2,1,3,3,5,2,4,2,1,3,1,1,0
jatirejo,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
jatisari,1,3,1,0,0,2,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,3,2,2,2,0,0,1,1,6,3,3,1,4,3,3,4,1,2,2
