id,nama_kelurahan,puskesmas_id,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
65,pedurungan kidul,20,4,3,1,1,1,2,1,2,2,1,1,0,2,0,1,1,1,3,2,2,3,2,4,3,2,1,5,3,1,4,4,3,1,8,3,2,3,2,6,0
66,penggaron kidul,20,2,1,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,0,4,3,0,2,3,2,4,1,0
67,gajahmungkur,7,2,3,3,1,0,2,3,3,4,1,2,2,1,1,2,2,3,4,1,3,1,0,3,3,5,0,1,4,2,3,4,9,5,1,8,4,4,9,3,2
68,bendan ngisor,7,1,1,0,1,1,0,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2,1,5,0,3,4,2,2,5,3,0,2
69,bendan duwur,7,2,1,1,0,2,0,0,0,1,0,0,2,1,1,2,0,0,0,0,0,1,1,1,1,2,2,0,0,0,1,3,2,2,3,1,1,1,0,5,0
70,bendungan,7,0,0,1,2,0,2,0,0,1,2,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,2,0,0,0,1,1,0,1,1
71,petompon,7,1,0,2,0,1,1,0,0,0,0,2,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,2,7,4,1,2,1,2,0,1,0,1,3
72,sampangan,7,1,2,3,2,1,0,0,0,0,1,2,0,1,2,1,0,1,1,1,1,0,0,3,0,2,4,1,1,2,2,1,4,4,4,5,1,2,4,2,1
73,karanganyar gunung,6,1,0,2,0,2,2,0,1,2,2,1,0,1,1,1,0,1,1,1,1,2,2,0,1,3,2,1,0,0,4,3,0,4,3,3,5,1,0,1,0
74,sendangmulyo,35,3,9,3,2,4,4,4,3,2,3,4,2,3,4,5,6,5,4,7,2,2,5,7,6,7,1,4,5,7,7,18,7,10,9,10,10,16,6,7,3
75,sambiroto,35,3,7,3,1,2,1,1,0,1,2,1,0,1,0,3,4,4,1,0,2,2,0,5,3,1,0,5,1,1,4,3,8,6,5,5,2,3,5,4,1
76,tembalang,34,1,5,1,0,0,1,0,1,2,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,3,2,4,3,2,3,0,1,1,2,0,5,0,1,1,2
77,mangunharjo,35,0,0,3,1,1,1,3,0,1,0,1,1,1,4,2,0,1,0,2,0,1,3,1,3,5,3,4,2,3,2,4,4,10,3,6,2,5,6,3,1
155,mangunharjo,36,0,0,3,1,1,1,3,0,1,0,1,1,1,4,2,0,1,0,2,0,1,3,1,3,5,3,4,2,3,2,4,4,10,3,6,2,5,6,3,1
78,meteseh,34,3,0,1,1,0,1,1,0,1,2,2,0,3,1,1,0,1,3,1,4,3,4,1,2,2,1,1,1,5,4,3,6,12,6,10,11,5,4,5,1
79,bulusan,34,3,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,1,0,2,1,1,4,1,0,0,2,4,0,2,2,3,1,3,3,1,1,0
80,sumurboto,4,3,1,1,1,1,0,1,0,2,0,2,0,1,1,1,0,0,1,0,0,1,1,1,2,2,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0
81,srondol kulon,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,2,2,0,3,0,1,0,11,0,3,1,0,2,5,3,1,3,3,4,1,1,2,0,2,2
82,srondol wetan,1,3,6,5,1,1,0,2,0,1,1,0,0,0,0,3,1,1,1,1,4,2,0,4,2,1,2,0,3,2,5,3,5,3,6,6,4,2,3,1,1
83,pedalangan,3,0,2,3,0,1,2,2,0,2,2,0,0,3,0,0,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,1,5,2,5,8,3
84,banyumanik,1,1,3,1,3,2,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,2,7,0,2,2,2,1,1,2,1,0,4,7,4,5,0,0,1,0
85,padangsari,3,0,0,0,3,1,5,0,3,0,0,0,0,1,0,2,3,0,2,0,1,0,0,4,1,1,0,2,2,1,3,4,2,2,6,3,3,0,1,1,0
86,gedawang,2,0,3,1,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,1,1,0,0,2,1,3,3,0,0,0,3,0,4,1,3,3,2,4,1
87,pungangan,11,1,2,1,0,0,0,0,1,0,3,1,0,1,1,0,0,0,0,0,3,1,1,0,1,1,1,1,0,0,2,1,1,0,3,2,1,2,1,1,0
88,kandri,11,1,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1
89,kalisegoro,12,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,2,0,0
90,ngijo,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,3,1,3,0,0,0,0
91,cepoko,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,1,1,0,1
92,nongkosawit,11,1,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0
93,gunungpati,11,3,0,0,0,2,0,0,0,0,2,0,2,0,2,0,2,0,0,1,0,2,1,1,3,2,0,3,1,3,0,1,1,1,3,2,2,3,1,0,1
94,plalangan,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0
95,sekaran,12,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,2,0,1,0,2,0,2,1,2,2,3,6,5,2,4,2,1,3,1,4,3
96,sadeng,11,2,0,1,1,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,3,0,2,1,1,1,1,2,1,0,0,1,5,2,3,1,1,2,1,2
97,patemon,12,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,3,4,0,2,0,5,0,0
98,mangunsari,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,4,0,2,0,0,0,0
99,pakintelan,11,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,4,2,1,1,2,1,0,0,0,1
100,wonoplumbon,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,3,0,0,0
101,wonolopo,14,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,1,0,3,2,4,2,1,4,2,0,0,2,5,3,5,4,0,1
102,ngadirgo,14,0,1,1,0,2,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,2,1,0
103,mijen,14,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,3,3,0,1,2,4,3,2,2,2,2,1,1,1,2,3
105,jatibarang,14,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,3,0,0,0,0,0
106,pesantren,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0
107,jatisari,14,1,3,1,0,0,2,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,3,2,2,2,0,0,1,1,6,3,3,1,4,3,3,4,1,2,2
108,tambangan,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,0,1,0,0,1,1,0,1,2,1,0,1,0
109,cangkiran,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,1,0,0,1,1,1,2,2,0,1,0,0,3,1,2,0,1
110,bubakan,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,3,0,1,0,4,0
111,polaman,13,0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
112,gondoriyo,16,1,0,2,1,0,1,0,0,1,0,0,0,0,0,2,0,1,1,1,0,1,0,0,1,0,0,1,2,1,0,0,0,1,2,3,3,2,2,3,1
113,podorejo,16,0,1,1,0,0,0,0,0,2,1,0,0,1,1,0,2,0,0,0,1,1,0,0,2,1,1,0,2,0,0,3,0,0,3,1,4,4,0,1,1
114,wates,16,1,1,3,0,1,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,2,0,0,2,1,2,0,8,0,6,1,3,1,0,0,0,2,1,1,0
115,tambakaji,18,4,2,3,3,3,2,3,0,1,3,0,4,4,2,4,5,1,3,2,2,4,5,1,12,5,5,5,8,9,2,3,6,5,14,5,6,7,6,8,5
116,bringin,16,4,2,0,2,0,1,0,0,0,0,0,1,2,0,1,3,2,1,3,0,4,2,2,3,0,2,2,1,2,3,5,5,6,4,6,6,4,7,3,2
117,ngaliyan,16,4,4,6,0,3,2,2,1,1,0,2,2,0,1,2,3,0,2,2,3,0,2,2,4,4,3,6,5,2,5,7,3,3,2,4,3,4,1,0,0
118,sambirejo,8,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,1,0,1,0,2,0,1,2,0,2,3,3,1,3,3,3,3,3,4,2,2,4,2
119,tandang,35,5,2,3,2,1,1,0,2,0,0,2,1,2,3,3,3,1,2,2,2,9,5,6,4,7,4,5,6,5,5,7,4,7,12,9,8,7,3,5,4
120,pleburan,26,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1
121,karangturi,31,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,0,2,0,1,3,0,2,2,0,1,4,1
122,sawahbesar,8,1,3,0,2,0,2,1,0,3,2,1,0,1,0,1,3,2,2,0,3,1,2,2,2,5,4,1,1,3,3,4,3,5,1,5,3,6,3,2,0
123,lamper lor,27,0,1,3,0,0,1,0,0,1,2,0,0,1,0,1,2,1,1,0,0,1,1,0,0,1,2,1,1,0,3,1,2,1,1,4,2,0,3,2,0
124,penggaron lor,9,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,0,1,0,2,0,0,0,1,0,0,1,0,2,1,2,0,2
125,peterongan,27,2,0,0,0,2,2,1,1,1,0,0,1,0,3,1,2,1,0,0,0,1,1,0,2,2,2,1,0,0,2,1,2,2,1,0,1,2,2,2,1
126,pudakpayung,2,1,2,1,1,0,0,0,2,1,0,3,1,3,0,7,0,0,0,2,0,3,1,1,1,5,2,2,3,1,1,1,2,2,7,6,6,3,4,4,2
127,tinjomoyo,4,0,0,4,0,0,1,0,0,0,2,0,0,0,0,2,3,1,2,1,1,0,0,0,6,2,0,4,0,2,2,1,3,3,3,2,5,3,0,4,0
128,kedungpani,14,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,2,1,1,0,2,3,0,2,0,2,0,2,10,0,0,0,3,0,0,1,2,0,5,2,2
129,jatirejo,11,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
130,wonosari,18,5,3,1,0,1,2,0,1,1,3,1,2,1,1,2,1,4,3,4,1,6,1,3,5,8,3,2,2,5,3,3,8,8,5,5,8,4,5,3,2
131,tambakrejo,8,0,0,0,5,0,0,0,1,1,1,1,0,1,4,1,3,1,0,0,0,0,3,0,0,3,1,1,4,3,7,2,5,3,2,4,4,3,1,2,3
132,karanganyar,37,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,4,2,1,2,1,0,1,2,1,0,0,0,1,0,0,1,2,2,0
133,karangmalang,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3,1,0,1,1,0,1,2,0,2,1
134,purwoyoso,17,0,5,3,2,1,0,0,2,2,0,2,1,1,1,1,3,1,3,1,1,2,2,2,2,5,6,5,0,4,2,5,4,5,5,4,6,3,3,5,1
